schema_name,table,rows,table_type
cdc,captured_columns,667,
cdc,change_tables,21,
cdc,ddl_history,0,
cdc,index_columns,21,
cdc,lsn_time_mapping,470930,
cdc,OUC_ADMIN_GCCB_COLL_BILLING_CONCEPT_CT,928793,
cdc,OUC_ADMIN_GCCB_COLLECTION_NOTICE_BILL_CT,50472,
cdc,OUC_ADMIN_GCCB_REMAINING_AMOUNT_CT,2758,
cdc,OUC_ADMIN_GCCC_COMMUNICATION_CT,15036,
cdc,OUC_ADMIN_GCCC_COMPLAINT_CT,27523,
cdc,OUC_ADMIN_GCCC_OUTAGE_CT,3830,
cdc,OUC_ADMIN_GCCOM_ANOMALOUS_CT,121494,
cdc,OUC_ADMIN_GCCOM_BILLING_CONCEPT_CT,3730642,
cdc,OUC_ADMIN_GCCOM_CS_FINANCE_CT,95,
cdc,OUC_ADMIN_GCCOM_REBILLING_ACTIVITY_CT,214,
cdc,OUC_ADMIN_GCGT_CA_CAMPAIGN_CT,52,
cdc,OUC_ADMIN_GCGT_IR_IRREGULARITY_CT,211,
cdc,OUC_ADMIN_GCGT_NS_REQUEST_BUDGET_CT,12,
cdc,OUC_ADMIN_GCGT_NS_WORK_REQUEST_CT,118,
cdc,OUC_COMMON_ADMIN_GCCOM_BILL_CT,1695835,
cdc,OUC_COMMON_ADMIN_GCCOM_CONTRACTED_SERVICE_CT,208382,
cdc,OUC_COMMON_ADMIN_GCCOM_SECTOR_SUPPLY_CT,1493,
cdc,OUC_COMMON_ADMIN_GCCOM_SERVICE_REQUEST_CT,5544,
cdc,OUC_COMMON_ADMIN_GCGT_RE_ANOMALOUS_CT,244022,
cdc,OUC_COMMON_ADMIN_GCGT_RE_READING_CT,1173419,
cdc,OUCW_ADMIN_GCGT_WO_FIELD_ACTIVITY_CT,29914,
dbo,AUX_SELF_SERVICE,2654156,
dbo,systranschemas,0,
OUC_ADMIN,ADP_GCCB_CFDI,31140,B
OUC_ADMIN,ADP_GCCB_CFDI_DET_CONS,116267,B
OUC_ADMIN,ADP_GCCB_CFDI_DET_CUST,31140,B
OUC_ADMIN,ADP_GCCB_CFDI_DET_TAX,55489,B
OUC_ADMIN,ADP_GCCB_CFDI_DETAIL,31140,B
OUC_ADMIN,ADP_GCCB_CFDI_RELATION,41398,B
OUC_ADMIN,ADP_GCCB_CFDI_TYPE,8,M
OUC_ADMIN,ADP_GCCB_TICKETTO_NUMBERS,1406563,B
OUC_ADMIN,ADP_GCCOM_CONCEPTS_MASTER,44,P
OUC_ADMIN,ADP_GCCOM_CONCEPTS_MASTER_RELA,228,P
OUC_ADMIN,ADP_GCCOM_FARE_TAX,0,B
OUC_ADMIN,ADP_GCGT_CA_WATER,2,B
OUC_ADMIN,ADP_GCGT_CA_WATER_DATES,3,B
OUC_ADMIN,ADP_GCGT_CA_WATER_DETAIL,115,B
OUC_ADMIN,ADP_GCGT_CA_WATER_URL,2,B
OUC_ADMIN,AUX_GCGT_GAS_DIST_AREA_GEO_ENT,0,B
OUC_ADMIN,GCACC_ACCOUNTING_PERIOD,958,C
OUC_ADMIN,GCACC_BILLING_DOC,16861924,B
OUC_ADMIN,GCACC_BILLING_MOV,91381718,B
OUC_ADMIN,GCACC_COLL_OPERATION_DEF,133,C
OUC_ADMIN,GCACC_COLL_OPERATION_DEF_PARAM,195,P
OUC_ADMIN,GCACC_COLL_OPERATION_DETAIL,98691148,B
OUC_ADMIN,GCACC_CONTROL_BATCH,8604,C
OUC_ADMIN,GCACC_FILE_COLL_PEND_DOC_BU,84166293,B
OUC_ADMIN,GCACC_FILE_COLL_PENDING_DOC,14538533,B
OUC_ADMIN,GCACC_FILE_COLL_PENDING_HEADER,28,B
OUC_ADMIN,GCACC_FILE_COLL_PENDING_SUM,17,B
OUC_ADMIN,GCACC_FILE_GL_DETAIL,834490,B
OUC_ADMIN,GCACC_FILE_GL_DOCUMENT,11217,B
OUC_ADMIN,GCACC_FILE_GL_HEADER,820,B
OUC_ADMIN,GCACC_FILE_RRL_DETAIL,0,B
OUC_ADMIN,GCACC_FILE_RRL_HEADER,0,B
OUC_ADMIN,GCACC_FILE_TOWN_TAX_DETAIL,0,B
OUC_ADMIN,GCACC_FILE_TOWN_TAX_DOCUMENT,0,B
OUC_ADMIN,GCACC_FILE_TOWN_TAX_HEADER,0,B
OUC_ADMIN,GCACC_FILE_VALIDATION_ERROR,5269,B
OUC_ADMIN,GCACC_FISCAL_REGION_PROVINCE,19,P
OUC_ADMIN,GCACC_GL_DOCUMENT,11214,B
OUC_ADMIN,GCACC_GL_DOCUMENT_DET,824722,B
OUC_ADMIN,GCACC_GROUP_CONF_APPLIED,825,B
OUC_ADMIN,GCACC_GROUP_CONF_APPLIED_DET,33822,B
OUC_ADMIN,GCACC_GROUP_CONFIGURATION,164,C
OUC_ADMIN,GCACC_PARAM_CONCEPT,496286,C
OUC_ADMIN,GCACC_PARAM_GL,469051,C
OUC_ADMIN,GCACC_SIMULATION_TASK_DETAIL,0,B
OUC_ADMIN,GCACC_SIMULATION_TASKS,0,B
OUC_ADMIN,GCACC_TEMP_COUNTABLE_ACCOUNT,24,B
OUC_ADMIN,GCACC_TOWN_TAX,0,B
OUC_ADMIN,GCACC_TOWN_TAX_BILL,0,B
OUC_ADMIN,GCACC_TOWN_TAX_MOV,0,B
OUC_ADMIN,GCACC_VALIDATIONS_LOG,52,B
OUC_ADMIN,GCBILL_CCGG_OPERATION_MASTER,0,M
OUC_ADMIN,GCCB_ACCOUNT_EXTERNAL_AGENCY,0,B
OUC_ADMIN,GCCB_ACCOUNT_FORMAT_TYPE,3,M
OUC_ADMIN,GCCB_ACCOUNT_FORMAT_VALUES,16,C
OUC_ADMIN,GCCB_ACTIVE_PERIOD,0,B
OUC_ADMIN,GCCB_AGING_PERIOD_TYPE,4,M
OUC_ADMIN,GCCB_ALLOC_POLICY_TYPE,8,M
OUC_ADMIN,GCCB_ALLOC_RULE,2,C
OUC_ADMIN,GCCB_ALLOC_RULE_DETAIL,33,C
OUC_ADMIN,GCCB_BAD_DEBT_BILL,0,B
OUC_ADMIN,GCCB_BANK_COMMISSION,0,B
OUC_ADMIN,GCCB_BANK_COMMISSION_HIST,0,B
OUC_ADMIN,GCCB_BANK_DEPOSIT,20003,B
OUC_ADMIN,GCCB_BANK_DEPOSIT_DETAIL,20003,B
OUC_ADMIN,GCCB_BANK_DEPOSIT_ORIGIN_TYPE,2,M
OUC_ADMIN,GCCB_BANK_DEPOSIT_TYPE,9,M
OUC_ADMIN,GCCB_BANK_NORM_TYPE,8,M
OUC_ADMIN,GCCB_BANK_REC_DETAIL,46016,B
OUC_ADMIN,GCCB_BANK_RECONCILIATION,23008,B
OUC_ADMIN,GCCB_BANK_RECONCILIATION_HIST,239,B
OUC_ADMIN,GCCB_BARCODE_TYPE,4,M
OUC_ADMIN,GCCB_BRANCH_SEEDBED,0,C
OUC_ADMIN,GCCB_CASH_MOV_LOT_APP,0,B
OUC_ADMIN,GCCB_CASH_MOVEMENTS,1250821,B
OUC_ADMIN,GCCB_CASH_NON_INVOICE_TYPE,0,M
OUC_ADMIN,GCCB_CASH_ON_DELIVERY,24442,B
OUC_ADMIN,GCCB_CASH_STATUS,2,M
OUC_ADMIN,GCCB_CASHIER,60822,G
OUC_ADMIN,GCCB_CHECK_RETURN_REASON_TYPE,3,M
OUC_ADMIN,GCCB_CHECK_RETURN_SOLVE_TYPE,2,M
OUC_ADMIN,GCCB_CHEQUE,674560,B
OUC_ADMIN,GCCB_CHEQUE_ONLINE_COLLECTION,674560,B
OUC_ADMIN,GCCB_CHEQUE_REMITTANCE_MOVE,11975,B
OUC_ADMIN,GCCB_CIRCUIT_TYPE,2,M
OUC_ADMIN,GCCB_COLL_ACTIVATION_STATUS,3,M
OUC_ADMIN,GCCB_COLL_ACTIVITY_HISTORY,102986,B
OUC_ADMIN,GCCB_COLL_AGENCY_BILL_ORDER,61,B
